Qty,Value,Device,Package,Parts,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PROD_ID,VALUE
10,100k,3296W-1-104LF,S64W,"R7, R10",POTENTIOMETER,,,,,,
20,10uF,ECA-1HM100I,"E2,5-5","C1, C2, C5, C9, C21","POLARIZED CAPACITOR, American symbol",,,,,,
6,2.2k,RCS06032K20JNEA,603,R4,2.2kΩ resistor,,,,,RES-08272,2.2k
10,42TL016,42TL016,42TL,"MIC-XFMR, SPK-XFMR",Xicon Micro-Mini EI-12 Audio Transformers 42TL/42TC/42TM Series,,,unknown,unknown,,
4,4N25SM,4N25SM,DIL6-SMD,OK1,General Purpose 6-Pin Phototransistor Optocouplers,FAIRCHILD SEMICONDUCTOR,4N25SM,1021152,34C2020,,
